subject,sequence,emotion,label,onset,offset,frame_count,processed_rgb_path
022,022_3_3,positive,0,3659,3697,32,022\022_3_3
022,022_4_1,negative,1,492,569,32,022\022_4_1
022,022_5_1,positive,0,335,405,32,022\022_5_1
023,023_1_1,negative,1,5024,5074,32,023\023_1_1
024,024_2_1,negative,1,3763,3835,32,024\024_2_1
026,026_1_1,negative,1,295,370,32,026\026_1_1
026,026_2_1,negative,1,2881,2947,32,026\026_2_1
026,026_2_2,negative,1,2952,3028,32,026\026_2_2
026,026_2_3,negative,1,2607,2685,32,026\026_2_3
026,026_3_3,negative,1,1704,1737,32,026\026_3_3
026,026_3_4,negative,1,3582,3640,32,026\026_3_4
026,026_5_1,negative,1,5073,5146,32,026\026_5_1
026,026_6_1,negative,1,3848,3941,32,026\026_6_1
026,026_7_3,negative,1,2750,2844,32,026\026_7_3
028,028_4_1,negative,1,1071,1134,32,028\028_4_1
028,028_4_3,surprise,2,370,441,32,028\028_4_3
028,028_4_4,surprise,2,1288,1376,32,028\028_4_4
030,030_1_1,negative,1,2379,2460,32,030\030_1_1
030,030_1_2,negative,1,6344,6434,32,030\030_1_2
030,030_5_1,negative,1,1921,2001,32,030\030_5_1
031,031_3_1,negative,1,3831,3886,32,031\031_3_1
032,032_3_1,negative,1,4896,4970,32,032\032_3_1
032,032_3_2,negative,1,5126,5207,32,032\032_3_2
032,032_4_2,negative,1,408,479,32,032\032_4_2
032,032_6_1,negative,1,4307,4366,32,032\032_6_1
033,033_1_3,positive,0,5957,6009,32,033\033_1_3
033,033_1_4,negative,1,6541,6609,32,033\033_1_4
033,033_1_5,negative,1,6889,6973,32,033\033_1_5
033,033_2_1,negative,1,695,776,32,033\033_2_1
033,033_2_2,negative,1,2117,2215,32,033\033_2_2
034,034_3_1,negative,1,3129,3217,32,034\034_3_1
034,034_7_2,negative,1,1578,1655,32,034\034_7_2
034,034_7_3,negative,1,3636,3719,32,034\034_7_3
035,035_1_1,negative,1,9649,9691,32,035\035_1_1
035,035_4_1,negative,1,231,263,32,035\035_4_1
035,035_4_2,negative,1,1509,1574,32,035\035_4_2
035,035_5_2,negative,1,2409,2473,32,035\035_5_2
035,035_5_3,negative,1,253,341,32,035\035_5_3
035,035_6_3,negative,1,180,236,32,035\035_6_3
035,035_7_1,surprise,2,7809,7853,32,035\035_7_1
035,035_7_2,negative,1,823,918,32,035\035_7_2
036,036_7_3,negative,1,2264,2363,32,036\036_7_3
037,037_3_2,negative,1,3196,3295,32,037\037_3_2
