subject,sequence,emotion,label,onset,apex,offset,frame_count,processed_dynamic_path
7,EP15_01,disgust,1,36,64,91,56,sub07\s7_EP15_01.jpg
8,EP13_01f,repression,1,49,86,126,78,sub08\s8_EP13_01f.jpg
9,EP02_01f,happiness,0,21,74,91,71,sub09\s9_EP02_01f.jpg
9,EP05_05,happiness,0,46,84,96,51,sub09\s9_EP05_05.jpg
9,EP06_01f,repression,1,66,144,186,121,sub09\s9_EP06_01f.jpg
9,EP06_02f,happiness,0,36,101,131,96,sub09\s9_EP06_02f.jpg
9,EP09_04,repression,1,26,71,146,121,sub09\s9_EP09_04.jpg
9,EP09_05,repression,1,26,81,111,86,sub09\s9_EP09_05.jpg
9,EP09f,happiness,0,26,64,86,61,sub09\s9_EP09f.jpg
9,EP13_01,repression,1,31,74,121,91,sub09\s9_EP13_01.jpg
9,EP13_02,fear,1,71,96,131,61,sub09\s9_EP13_02.jpg
9,EP15_05,happiness,0,56,91,111,56,sub09\s9_EP15_05.jpg
9,EP17_08,repression,1,6,41,76,71,sub09\s9_EP17_08.jpg
10,EP13_01,fear,1,11,59,76,66,sub10\s10_EP13_01.jpg
11,EP08_01f,disgust,1,96,121,146,51,sub11\s11_EP08_01f.jpg
11,EP13_02f,disgust,1,51,111,141,91,sub11\s11_EP13_02f.jpg
11,EP13_03f,disgust,1,6,49,81,76,sub11\s11_EP13_03f.jpg
11,EP13_05f,disgust,1,16,61,111,96,sub11\s11_EP13_05f.jpg
12,EP01_02,disgust,1,31,99,106,76,sub12\s12_EP01_02.jpg
12,EP02_05,surprise,2,41,61,140,100,sub12\s12_EP02_05.jpg
12,EP03_04,happiness,0,60,129,156,97,sub12\s12_EP03_04.jpg
12,EP04_16,disgust,1,36,56,135,100,sub12\s12_EP04_16.jpg
12,EP06_06,surprise,2,36,76,111,76,sub12\s12_EP06_06.jpg
12,EP08_01,surprise,2,46,81,106,61,sub12\s12_EP08_01.jpg
12,EP08_03,surprise,2,76,114,156,81,sub12\s12_EP08_03.jpg
12,EP08_07,happiness,0,111,134,186,76,sub12\s12_EP08_07.jpg
12,EP09_02,disgust,1,16,59,101,86,sub12\s12_EP09_02.jpg
12,EP09_06,disgust,1,66,111,111,46,sub12\s12_EP09_06.jpg
12,EP16_02,disgust,1,136,189,226,91,sub12\s12_EP16_02.jpg
13,EP03_01,happiness,0,31,86,111,81,sub13\s13_EP03_01.jpg
13,EP09_10,happiness,0,51,76,126,76,sub13\s13_EP09_10.jpg
14,EP09_03,happiness,0,6,29,41,36,sub14\s14_EP09_03.jpg
14,EP09_04,happiness,0,21,71,106,86,sub14\s14_EP09_04.jpg
14,EP09_06,happiness,0,11,59,91,81,sub14\s14_EP09_06.jpg
15,EP03_02,happiness,0,16,49,76,61,sub15\s15_EP03_02.jpg
15,EP04_02,surprise,2,21,46,111,91,sub15\s15_EP04_02.jpg
15,EP08_02,disgust,1,21,54,78,58,sub15\s15_EP08_02.jpg
16,EP01_05,happiness,0,66,106,156,91,sub16\s16_EP01_05.jpg
16,EP01_08,repression,1,73,94,110,38,sub16\s16_EP01_08.jpg
16,EP04_02f,happiness,0,181,269,271,91,sub16\s16_EP04_02f.jpg
17,EP01_06,happiness,0,81,86,121,41,sub17\s17_EP01_06.jpg
17,EP01_13,surprise,2,76,134,166,91,sub17\s17_EP01_13.jpg
17,EP01_15,happiness,0,86,101,126,41,sub17\s17_EP01_15.jpg
17,EP02_01,disgust,1,91,119,136,46,sub17\s17_EP02_01.jpg
17,EP02_03,disgust,1,81,109,131,51,sub17\s17_EP02_03.jpg
17,EP02_11,disgust,1,161,181,210,50,sub17\s17_EP02_11.jpg
17,EP02_18f,repression,1,91,134,181,91,sub17\s17_EP02_18f.jpg
17,EP03_02,disgust,1,118,139,161,44,sub17\s17_EP03_02.jpg
17,EP03_09,happiness,0,96,132,161,66,sub17\s17_EP03_09.jpg
17,EP05_02,happiness,0,25,91,121,97,sub17\s17_EP05_02.jpg
17,EP05_03,happiness,0,21,56,101,81,sub17\s17_EP05_03.jpg
17,EP05_03f,repression,1,11,59,76,66,sub17\s17_EP05_03f.jpg
17,EP05_04,repression,1,6,39,71,66,sub17\s17_EP05_04.jpg
17,EP05_09,repression,1,121,144,196,76,sub17\s17_EP05_09.jpg
17,EP05_10,repression,1,111,129,151,41,sub17\s17_EP05_10.jpg
17,EP06_04,disgust,1,71,91,161,91,sub17\s17_EP06_04.jpg
17,EP06_07,happiness,0,216,225,246,31,sub17\s17_EP06_07.jpg
17,EP06_08,repression,1,156,194,231,76,sub17\s17_EP06_08.jpg
17,EP07_01,disgust,1,21,71,115,95,sub17\s17_EP07_01.jpg
17,EP08_02,disgust,1,21,66,88,68,sub17\s17_EP08_02.jpg
17,EP10_06,repression,1,104,121,161,58,sub17\s17_EP10_06.jpg
17,EP11_01,disgust,1,9,31,53,45,sub17\s17_EP11_01.jpg
17,EP11_02,disgust,1,36,81,121,86,sub17\s17_EP11_02.jpg
17,EP12_03,repression,1,131,156,184,54,sub17\s17_EP12_03.jpg
17,EP13_03,disgust,1,51,79,136,86,sub17\s17_EP13_03.jpg
17,EP13_04,disgust,1,86,104,121,36,sub17\s17_EP13_04.jpg
17,EP13_06,disgust,1,86,109,131,46,sub17\s17_EP13_06.jpg
17,EP13_09,happiness,0,6,46,101,96,sub17\s17_EP13_09.jpg
17,EP15_01,sadness,1,81,104,111,31,sub17\s17_EP15_01.jpg
17,EP15_03,sadness,1,319,338,356,38,sub17\s17_EP15_03.jpg
17,EP15_04,repression,1,109,131,185,77,sub17\s17_EP15_04.jpg
17,EP16_01f,disgust,1,8,29,71,64,sub17\s17_EP16_01f.jpg
17,EP18_07,disgust,1,36,69,103,68,sub17\s17_EP18_07.jpg
19,EP01_01f,happiness,0,121,189,220,100,sub19\s19_EP01_01f.jpg
19,EP01_02f,happiness,0,36,61,127,92,sub19\s19_EP01_02f.jpg
19,EP02_01,surprise,2,91,119,151,61,sub19\s19_EP02_01.jpg
19,EP06_01f,surprise,2,146,174,201,56,sub19\s19_EP06_01f.jpg
19,EP08_02,happiness,0,76,119,155,80,sub19\s19_EP08_02.jpg
19,EP11_04f,surprise,2,76,96,131,56,sub19\s19_EP11_04f.jpg
19,EP13_01,disgust,1,71,104,156,86,sub19\s19_EP13_01.jpg
19,EP16_01,disgust,1,86,109,136,51,sub19\s19_EP16_01.jpg
19,EP16_02,disgust,1,61,79,101,41,sub19\s19_EP16_02.jpg
19,EP19_02,surprise,2,106,129,151,46,sub19\s19_EP19_02.jpg
19,EP19_03,surprise,2,61,91,116,56,sub19\s19_EP19_03.jpg
19,EP19_04,sadness,1,46,69,86,41,sub19\s19_EP19_04.jpg
20,EP01_03,disgust,1,76,101,126,51,sub20\s20_EP01_03.jpg
20,EP06_03,disgust,1,31,49,61,31,sub20\s20_EP06_03.jpg
21,EP05_02,repression,1,111,141,206,96,sub21\s21_EP05_02.jpg
22,EP01_12,repression,1,50,119,146,97,sub22\s22_EP01_12.jpg
22,EP13_08,repression,1,151,216,256,106,sub22\s22_EP13_08.jpg
23,EP02_01,happiness,0,36,86,130,95,sub23\s23_EP02_01.jpg
23,EP03_14f,disgust,1,51,91,111,61,sub23\s23_EP03_14f.jpg
23,EP04_03f,repression,1,16,91,115,100,sub23\s23_EP04_03f.jpg
23,EP05_24f,repression,1,106,141,171,66,sub23\s23_EP05_24f.jpg
23,EP05_25f,disgust,1,51,86,131,81,sub23\s23_EP05_25f.jpg
23,EP12_02f,disgust,1,46,84,130,85,sub23\s23_EP12_02f.jpg
23,EP12_03,disgust,1,86,129,161,76,sub23\s23_EP12_03.jpg
23,EP13_04,repression,1,21,41,86,66,sub23\s23_EP13_04.jpg
24,EP01_08,disgust,1,33,69,131,99,sub24\s24_EP01_08.jpg
24,EP02_02f,disgust,1,71,94,106,36,sub24\s24_EP02_02f.jpg
24,EP07_01,sadness,1,24,41,66,43,sub24\s24_EP07_01.jpg
24,EP07_04f,sadness,1,4,24,41,38,sub24\s24_EP07_04f.jpg
24,EP10_03,sadness,1,334,356,376,43,sub24\s24_EP10_03.jpg
24,EP18_03,surprise,2,53,76,88,36,sub24\s24_EP18_03.jpg
25,EP09_02,disgust,1,76,101,111,36,sub25\s25_EP09_02.jpg
25,EP10_01,disgust,1,101,129,176,76,sub25\s25_EP10_01.jpg
25,EP10_10,surprise,2,61,91,158,98,sub25\s25_EP10_10.jpg
25,EP12_01,surprise,2,131,151,186,56,sub25\s25_EP12_01.jpg
25,EP18_04f,disgust,1,76,116,116,41,sub25\s25_EP18_04f.jpg
26,EP03_10,happiness,0,116,149,201,86,sub26\s26_EP03_10.jpg
26,EP09_04,disgust,1,31,56,91,61,sub26\s26_EP09_04.jpg
26,EP09_09,disgust,1,46,76,101,56,sub26\s26_EP09_09.jpg
26,EP13_02,happiness,0,32,54,116,85,sub26\s26_EP13_02.jpg
26,EP13_11,disgust,1,20,59,101,82,sub26\s26_EP13_11.jpg
26,EP15_01,sadness,1,42,61,81,40,sub26\s26_EP15_01.jpg
26,EP16_01,disgust,1,26,54,76,51,sub26\s26_EP16_01.jpg
26,EP18_44,disgust,1,11,36,71,61,sub26\s26_EP18_44.jpg
26,EP18_47,disgust,1,6,49,86,81,sub26\s26_EP18_47.jpg
26,EP18_49,disgust,1,16,54,80,65,sub26\s26_EP18_49.jpg
26,EP18_50,disgust,1,78,99,161,84,sub26\s26_EP18_50.jpg
26,EP18_51,disgust,1,21,64,81,61,sub26\s26_EP18_51.jpg
