subject,sequence,emotion,label,onset,offset,processed_dynamic_path
011,011_7_1,negative,1,1220,1269,011\s011_011_7_1.jpg
011,011_7_10,negative,1,3599,3680,011\s011_011_7_10.jpg
012,012_3_1,negative,1,4621,4676,012\s012_012_3_1.jpg
012,012_3_2,negative,1,4697,4796,012\s012_012_3_2.jpg
012,012_7_1,surprise,2,7871,7923,012\s012_012_7_1.jpg
013,013_1_10,negative,1,3802,3890,013\s013_013_1_10.jpg
013,013_1_11,negative,1,4490,4582,013\s013_013_1_11.jpg
013,013_1_12,negative,1,706,802,013\s013_013_1_12.jpg
013,013_1_8,negative,1,841,919,013\s013_013_1_8.jpg
013,013_1_9,negative,1,5658,5739,013\s013_013_1_9.jpg
013,013_7_7,negative,1,2077,2167,013\s013_013_7_7.jpg
014,014_1_1,negative,1,2856,2897,014\s014_014_1_1.jpg
014,014_2_3,surprise,2,4616,4705,014\s014_014_2_3.jpg
014,014_2_4,positive,0,3874,3968,014\s014_014_2_4.jpg
014,014_3_3,positive,0,2635,2714,014\s014_014_3_3.jpg
014,014_3_4,positive,0,1426,1523,014\s014_014_3_4.jpg
014,014_5_2,negative,1,469,557,014\s014_014_5_2.jpg
014,014_6_1,positive,0,1316,1350,014\s014_014_6_1.jpg
014,014_6_2,positive,0,1190,1253,014\s014_014_6_2.jpg
014,014_6_3,positive,0,128,196,014\s014_014_6_3.jpg
014,014_7_1,positive,0,3529,3598,014\s014_014_7_1.jpg
015,015_5_1,negative,1,6380,6442,015\s015_015_5_1.jpg
015,015_5_2,negative,1,6587,6659,015\s015_015_5_2.jpg
015,015_5_3,surprise,2,6050,6127,015\s015_015_5_3.jpg
016,016_7_1,negative,1,2275,2323,016\s016_016_7_1.jpg
016,016_7_2,surprise,2,3840,3892,016\s016_016_7_2.jpg
016,016_7_3,negative,1,4395,4447,016\s016_016_7_3.jpg
016,016_7_5,surprise,2,6120,6207,016\s016_016_7_5.jpg
016,016_7_8,positive,0,12256,12349,016\s016_016_7_8.jpg
017,017_3_1,negative,1,312,387,017\s017_017_3_1.jpg
017,017_3_2,surprise,2,83,165,017\s017_017_3_2.jpg
017,017_3_4,negative,1,174,264,017\s017_017_3_4.jpg
017,017_6_1,negative,1,1107,1178,017\s017_017_6_1.jpg
018,018_3_1,negative,1,1405,1500,018\s018_018_3_1.jpg
018,018_5_1,negative,1,6991,7060,018\s018_018_5_1.jpg
018,018_7_1,surprise,2,10133,10175,018\s018_018_7_1.jpg
019,019_4_1,positive,0,4496,4550,019\s019_019_4_1.jpg
020,020_4_1,negative,1,3440,3497,020\s020_020_4_1.jpg
020,020_4_2,positive,0,1482,1528,020\s020_020_4_2.jpg
020,020_7_1,negative,1,8518,8577,020\s020_020_7_1.jpg
020,020_7_10,positive,0,9071,9165,020\s020_020_7_10.jpg
021,021_7_1,negative,1,5589,5646,021\s021_021_7_1.jpg
021,021_7_2,negative,1,2853,2942,021\s021_021_7_2.jpg
022,022_2_3,negative,1,402,501,022\s022_022_2_3.jpg
022,022_3_2,negative,1,380,428,022\s022_022_3_2.jpg
022,022_3_3,positive,0,3659,3697,022\s022_022_3_3.jpg
022,022_4_1,negative,1,492,569,022\s022_022_4_1.jpg
022,022_5_1,positive,0,335,405,022\s022_022_5_1.jpg
023,023_1_1,negative,1,5024,5074,023\s023_023_1_1.jpg
024,024_2_1,negative,1,3763,3835,024\s024_024_2_1.jpg
026,026_1_1,negative,1,295,370,026\s026_026_1_1.jpg
026,026_2_1,negative,1,2881,2947,026\s026_026_2_1.jpg
026,026_2_2,negative,1,2952,3028,026\s026_026_2_2.jpg
026,026_2_3,negative,1,2607,2685,026\s026_026_2_3.jpg
026,026_3_3,negative,1,1704,1737,026\s026_026_3_3.jpg
026,026_3_4,negative,1,3582,3640,026\s026_026_3_4.jpg
026,026_5_1,negative,1,5073,5146,026\s026_026_5_1.jpg
026,026_6_1,negative,1,3848,3941,026\s026_026_6_1.jpg
026,026_7_3,negative,1,2750,2844,026\s026_026_7_3.jpg
028,028_4_1,negative,1,1071,1134,028\s028_028_4_1.jpg
028,028_4_3,surprise,2,370,441,028\s028_028_4_3.jpg
028,028_4_4,surprise,2,1288,1376,028\s028_028_4_4.jpg
030,030_1_1,negative,1,2379,2460,030\s030_030_1_1.jpg
030,030_1_2,negative,1,6344,6434,030\s030_030_1_2.jpg
030,030_5_1,negative,1,1921,2001,030\s030_030_5_1.jpg
031,031_3_1,negative,1,3831,3886,031\s031_031_3_1.jpg
032,032_3_1,negative,1,4896,4970,032\s032_032_3_1.jpg
032,032_3_2,negative,1,5126,5207,032\s032_032_3_2.jpg
032,032_4_2,negative,1,408,479,032\s032_032_4_2.jpg
032,032_6_1,negative,1,4307,4366,032\s032_032_6_1.jpg
033,033_1_3,positive,0,5957,6009,033\s033_033_1_3.jpg
033,033_1_4,negative,1,6541,6609,033\s033_033_1_4.jpg
033,033_1_5,negative,1,6889,6973,033\s033_033_1_5.jpg
033,033_2_1,negative,1,695,776,033\s033_033_2_1.jpg
033,033_2_2,negative,1,2117,2215,033\s033_033_2_2.jpg
034,034_3_1,negative,1,3129,3217,034\s034_034_3_1.jpg
034,034_7_2,negative,1,1578,1655,034\s034_034_7_2.jpg
034,034_7_3,negative,1,3636,3719,034\s034_034_7_3.jpg
035,035_1_1,negative,1,9649,9691,035\s035_035_1_1.jpg
035,035_4_1,negative,1,231,263,035\s035_035_4_1.jpg
035,035_4_2,negative,1,1509,1574,035\s035_035_4_2.jpg
035,035_5_2,negative,1,2409,2473,035\s035_035_5_2.jpg
035,035_5_3,negative,1,253,341,035\s035_035_5_3.jpg
035,035_6_3,negative,1,180,236,035\s035_035_6_3.jpg
035,035_7_1,surprise,2,7809,7853,035\s035_035_7_1.jpg
035,035_7_2,negative,1,823,918,035\s035_035_7_2.jpg
036,036_7_3,negative,1,2264,2363,036\s036_036_7_3.jpg
037,037_3_2,negative,1,3196,3295,037\s037_037_3_2.jpg
